,in,out,fee
9653,2022-07-03 18:14:40,2022-07-03 18:26:08,77
9654,2022-07-03 18:21:39,2022-07-03 18:29:58,77
9655,2022-07-03 18:36:31,2022-07-03 18:45:21,77
9656,2022-07-03 18:38:11,2022-07-03 18:44:27,77
9657,2022-07-03 18:45:52,2022-07-03 18:58:50,77
9658,2022-07-03 18:46:07,2022-07-03 19:18:13,231
9659,2022-07-03 18:56:05,2022-07-03 19:06:02,77
9660,2022-07-03 19:18:12,2022-07-03 19:31:47,77
9661,2022-07-03 19:57:48,2022-07-03 20:17:27,154
9662,2022-07-03 20:26:27,2022-07-03 20:34:16,77
9663,2022-07-03 20:49:52,2022-07-03 21:02:08,77
9664,2022-07-03 20:54:16,2022-07-03 22:53:01,616
9665,2022-07-03 21:03:48,2022-07-03 21:50:37,308
9666,2022-07-03 21:05:16,2022-07-03 21:13:46,77
9667,2022-07-03 21:19:13,2022-07-03 21:28:16,77
9668,2022-07-03 21:41:22,2022-07-03 21:47:45,77
9669,2022-07-03 21:53:03,2022-07-03 22:02:35,77
9670,2022-07-03 22:10:21,2022-07-03 22:31:56,154
9671,2022-07-03 22:10:24,2022-07-04 09:59:39,2732
9672,2022-07-03 22:12:00,2022-07-03 22:22:01,77
9673,2022-07-03 23:11:55,2022-07-03 23:20:35,77
9674,2022-07-03 23:30:35,2022-07-03 23:39:53,77
9675,2022-07-04 00:11:25,2022-07-04 00:23:24,77
9676,2022-07-04 00:15:44,2022-07-04 00:33:51,154
9677,2022-07-04 00:16:26,2022-07-04 00:33:45,154
9678,2022-07-04 06:50:42,2022-07-04 06:57:59,77
9679,2022-07-04 07:25:30,2022-07-04 07:42:48,154
9680,2022-07-04 07:57:46,2022-07-04 08:18:17,154
9681,2022-07-04 08:30:35,2022-07-04 11:28:14,924
9682,2022-07-04 08:43:44,2022-07-04 08:52:03,77
9683,2022-07-04 09:00:29,2022-07-04 09:07:11,77
9684,2022-07-04 09:23:18,2022-07-04 09:33:19,77
9685,2022-07-04 09:26:31,2022-07-04 09:39:37,77
9686,2022-07-04 09:53:16,2022-07-04 18:00:06,1577
9687,2022-07-04 10:11:40,2022-07-04 10:21:42,77
9688,2022-07-04 10:55:54,2022-07-04 11:02:32,77
9689,2022-07-04 11:21:05,2022-07-04 12:40:05,462
9690,2022-07-04 11:22:37,2022-07-04 18:12:48,1500
9691,2022-07-04 11:40:44,2022-07-04 12:01:49,154
9692,2022-07-04 11:52:33,2022-07-04 12:10:56,154
9693,2022-07-04 12:00:09,2022-07-04 12:09:06,77
9694,2022-07-04 12:09:00,2022-07-04 12:45:50,231
9695,2022-07-04 12:10:26,2022-07-04 12:21:14,77
9696,2022-07-04 12:22:27,2022-07-04 12:49:55,154
9697,2022-07-04 12:45:07,2022-07-04 13:10:09,154
9698,2022-07-04 13:19:43,2022-07-04 13:35:47,154
9699,2022-07-04 13:27:37,2022-07-04 13:38:38,77
9700,2022-07-04 13:37:16,2022-07-04 13:56:18,154
9701,2022-07-04 14:02:07,2022-07-04 14:25:08,154
9702,2022-07-04 14:22:39,2022-07-04 14:32:05,77
9703,2022-07-04 15:24:09,2022-07-04 15:37:19,77
9704,2022-07-04 15:31:50,2022-07-04 18:59:10,1078
9705,2022-07-04 15:59:43,2022-07-04 16:07:50,77
9706,2022-07-04 16:15:22,2022-07-04 16:19:47,77
9707,2022-07-04 17:22:53,2022-07-04 17:30:20,77
9708,2022-07-04 17:39:09,2022-07-04 18:47:54,385
9709,2022-07-04 17:44:32,2022-07-04 17:55:51,77
9710,2022-07-04 17:54:04,2022-07-04 18:02:07,77
9711,2022-07-04 17:56:41,2022-07-04 18:02:53,77
9712,2022-07-04 17:57:42,2022-07-04 18:10:46,77
9713,2022-07-04 18:16:23,2022-07-04 18:20:00,77
9714,2022-07-04 18:19:01,2022-07-04 18:26:07,77
9715,2022-07-04 18:21:02,2022-07-04 18:34:52,77
9716,2022-07-04 18:28:33,2022-07-04 18:36:33,77
9717,2022-07-04 18:28:50,2022-07-04 18:35:52,77
9718,2022-07-04 18:29:17,2022-07-04 18:50:06,77
9719,2022-07-04 18:39:00,2022-07-04 18:46:04,77
9720,2022-07-04 18:55:46,2022-07-04 19:06:38,77
9721,2022-07-04 19:14:46,2022-07-04 19:27:08,77
9722,2022-07-04 19:16:55,2022-07-04 20:07:10,308
9723,2022-07-04 19:18:51,2022-07-04 19:27:28,77
9724,2022-07-04 19:28:15,2022-07-04 19:45:33,154
9725,2022-07-04 19:34:30,2022-07-04 21:37:29,693
9726,2022-07-04 19:36:58,2022-07-04 19:48:49,77
9727,2022-07-04 19:42:12,2022-07-04 22:19:35,847
9728,2022-07-04 19:46:50,2022-07-04 20:00:26,77
9729,2022-07-04 20:55:42,2022-07-04 21:25:31,154
9730,2022-07-04 21:04:29,2022-07-04 21:11:20,77
9731,2022-07-04 21:56:34,2022-07-04 22:35:45,231
9732,2022-07-04 22:08:59,2022-07-04 22:14:49,77
9733,2022-07-04 22:28:47,2022-07-04 22:52:39,154
9734,2022-07-04 22:35:02,2022-07-04 22:42:35,77
9735,2022-07-04 23:13:13,2022-07-05 00:09:06,308
9736,2022-07-05 00:27:59,2022-07-05 00:38:59,77
9737,2022-07-05 00:46:45,2022-07-05 00:59:35,77
9738,2022-07-05 05:08:10,2022-07-05 05:20:28,77
9739,2022-07-05 07:17:13,2022-07-05 07:26:27,77
9740,2022-07-05 07:19:05,2022-07-05 07:50:24,231
9741,2022-07-05 07:29:55,2022-07-05 07:40:56,77
9742,2022-07-05 07:42:56,2022-07-05 14:53:37,1500
9743,2022-07-05 08:20:54,2022-07-05 08:23:57,77
9744,2022-07-05 08:21:30,2022-07-05 08:32:52,77
9745,2022-07-05 08:25:43,2022-07-05 08:47:03,154
9746,2022-07-05 08:31:37,2022-07-05 08:42:28,77
9747,2022-07-05 08:39:16,2022-07-05 08:47:48,77
9748,2022-07-05 08:39:51,2022-07-05 08:52:32,77
9749,2022-07-05 08:50:29,2022-07-05 08:58:36,77
9750,2022-07-05 08:50:53,2022-07-05 09:03:11,77
9751,2022-07-05 08:54:55,2022-07-05 09:04:09,77
9752,2022-07-05 09:09:36,2022-07-05 09:45:17,231
9753,2022-07-05 10:18:25,2022-07-05 10:35:45,154
9754,2022-07-05 10:23:43,2022-07-05 10:37:19,77
9755,2022-07-05 10:31:06,2022-07-05 15:07:14,1463
9756,2022-07-05 10:52:13,2022-07-05 11:06:59,77
9757,2022-07-05 11:50:52,2022-07-05 11:58:39,77
9758,2022-07-05 11:58:22,2022-07-05 12:04:59,77
9759,2022-07-05 12:11:48,2022-07-05 12:23:04,77
9760,2022-07-05 12:17:22,2022-07-05 12:20:57,77
9761,2022-07-05 12:59:25,2022-07-05 13:05:17,77
9762,2022-07-05 13:07:16,2022-07-05 13:16:42,77
9763,2022-07-05 13:09:07,2022-07-05 13:44:51,231
9764,2022-07-05 13:52:19,2022-07-05 14:00:47,77
9765,2022-07-05 14:09:55,2022-07-05 14:20:35,77
9766,2022-07-05 14:48:35,2022-07-05 15:01:00,77
9767,2022-07-05 15:00:22,2022-07-05 15:09:29,77
9768,2022-07-05 15:40:41,2022-07-05 17:00:10,462
9769,2022-07-05 16:11:53,2022-07-05 16:28:30,154
9770,2022-07-05 16:15:05,2022-07-05 16:23:23,77
9771,2022-07-05 16:15:42,2022-07-05 16:25:50,77
9772,2022-07-05 16:24:18,2022-07-05 16:34:54,77
9773,2022-07-05 17:10:29,2022-07-05 17:21:31,77
9774,2022-07-05 17:14:09,2022-07-05 17:23:43,77
9775,2022-07-05 17:23:58,2022-07-05 17:31:54,77
9776,2022-07-05 17:47:57,2022-07-05 17:55:20,77
9777,2022-07-05 18:08:24,2022-07-05 18:17:11,77
9778,2022-07-05 18:18:24,2022-07-05 18:26:10,77
9779,2022-07-05 18:29:08,2022-07-05 18:34:41,77
9780,2022-07-05 18:31:42,2022-07-05 18:42:12,77
9781,2022-07-05 18:36:02,2022-07-05 18:44:39,77
9782,2022-07-05 19:01:43,2022-07-05 19:11:35,77
9783,2022-07-05 19:04:18,2022-07-05 20:20:00,462
9784,2022-07-05 19:12:15,2022-07-05 19:19:49,77
9785,2022-07-05 19:17:36,2022-07-05 19:26:12,77
9786,2022-07-05 19:39:19,2022-07-05 19:48:46,77
9787,2022-07-05 20:54:49,2022-07-05 21:00:56,77
9788,2022-07-05 20:55:16,2022-07-05 21:06:31,77
9789,2022-07-05 21:05:34,2022-07-05 21:13:29,77
9790,2022-07-05 21:19:20,2022-07-05 21:29:24,77
9791,2022-07-05 21:53:19,2022-07-05 22:04:52,77
9792,2022-07-05 21:53:29,2022-07-05 22:02:23,77
9793,2022-07-05 22:03:59,2022-07-05 22:15:03,77
9794,2022-07-05 22:13:30,2022-07-05 22:37:11,154
9795,2022-07-05 22:28:01,2022-07-05 22:42:45,77
9796,2022-07-05 22:37:45,2022-07-05 22:48:07,77
9797,2022-07-05 22:51:56,2022-07-05 23:00:45,77
9798,2022-07-05 22:54:03,2022-07-05 23:01:41,77
9799,2022-07-05 22:59:37,2022-07-05 23:08:44,77
9800,2022-07-05 23:06:20,2022-07-05 23:13:39,77
9801,2022-07-05 23:30:26,2022-07-05 23:41:03,77
9802,2022-07-05 23:44:12,2022-07-05 23:55:56,77
9803,2022-07-06 00:57:08,2022-07-06 01:15:33,154
9804,2022-07-06 05:36:58,2022-07-06 05:46:16,77
9805,2022-07-06 05:59:25,2022-07-06 06:08:23,77
9806,2022-07-06 06:53:40,2022-07-06 07:36:26,231
9807,2022-07-06 07:29:19,2022-07-06 07:43:06,77
9808,2022-07-06 07:59:59,2022-07-06 18:38:02,2347
9809,2022-07-06 08:01:28,2022-07-06 08:12:40,77
9810,2022-07-06 08:16:03,2022-07-06 08:23:08,77
9811,2022-07-06 08:20:56,2022-07-06 08:23:58,77
9812,2022-07-06 08:30:28,2022-07-06 08:39:32,77
9813,2022-07-06 08:39:41,2022-07-06 08:52:30,77
9814,2022-07-06 08:42:22,2022-07-06 08:53:08,77
9815,2022-07-06 08:42:46,2022-07-06 09:06:44,154
9816,2022-07-06 08:44:25,2022-07-06 08:54:16,77
9817,2022-07-06 10:04:16,2022-07-06 10:15:28,77
9818,2022-07-06 10:28:56,2022-07-06 10:40:43,77
9819,2022-07-06 10:54:08,2022-07-06 11:01:51,77
9820,2022-07-06 11:12:30,2022-07-06 13:20:44,693
9821,2022-07-06 12:26:39,2022-07-06 12:36:11,77
9822,2022-07-06 13:27:04,2022-07-06 14:15:31,308
9823,2022-07-06 13:52:28,2022-07-06 14:01:22,77
9824,2022-07-06 15:27:34,2022-07-06 15:39:00,77
9825,2022-07-06 15:52:41,2022-07-06 16:46:35,308
9826,2022-07-06 16:42:56,2022-07-06 16:52:38,77
9827,2022-07-06 16:58:19,2022-07-06 17:08:01,77
9828,2022-07-06 17:15:40,2022-07-06 17:22:46,77
9829,2022-07-06 17:17:38,2022-07-06 17:33:08,154
9830,2022-07-06 17:51:53,2022-07-06 17:57:36,77
9831,2022-07-06 18:09:19,2022-07-06 18:18:56,77
9832,2022-07-06 18:29:10,2022-07-06 18:37:09,77
9833,2022-07-06 18:39:54,2022-07-06 18:50:13,77
9834,2022-07-06 18:45:44,2022-07-06 18:53:40,77
9835,2022-07-06 19:04:34,2022-07-06 19:46:56,231
9836,2022-07-06 19:04:58,2022-07-06 19:14:13,77
9837,2022-07-06 19:20:30,2022-07-06 19:32:36,77
9838,2022-07-06 20:19:22,2022-07-06 20:31:55,77
9839,2022-07-06 21:17:29,2022-07-06 21:25:54,77
9840,2022-07-06 21:23:13,2022-07-06 21:44:48,154
9841,2022-07-06 21:31:56,2022-07-06 21:44:21,77
9842,2022-07-06 21:32:57,2022-07-06 21:42:38,77
9843,2022-07-06 22:10:39,2022-07-06 22:22:38,77
9844,2022-07-06 22:12:05,2022-07-06 22:22:59,77
9845,2022-07-06 22:15:31,2022-07-06 22:27:34,77
9846,2022-07-06 22:17:51,2022-07-07 00:38:49,770
9847,2022-07-06 22:21:33,2022-07-06 22:28:35,77
9848,2022-07-06 22:23:49,2022-07-06 22:37:23,77
9849,2022-07-06 22:28:15,2022-07-06 22:38:09,77
9850,2022-07-06 22:40:28,2022-07-06 22:51:13,77
9851,2022-07-06 23:15:12,2022-07-06 23:30:58,154
9852,2022-07-07 05:07:29,2022-07-07 05:18:39,77
9853,2022-07-07 06:50:23,2022-07-07 06:57:38,77
9854,2022-07-07 07:52:21,2022-07-07 07:55:50,77
9855,2022-07-07 07:53:42,2022-07-07 08:12:17,154
9856,2022-07-07 07:57:22,2022-07-07 08:13:27,154
9857,2022-07-07 08:16:23,2022-07-07 08:30:37,77
9858,2022-07-07 08:16:41,2022-07-07 08:27:47,77
9859,2022-07-07 08:21:59,2022-07-07 08:24:56,77
9860,2022-07-07 08:22:02,2022-07-07 08:32:39,77
9861,2022-07-07 08:39:31,2022-07-07 08:54:36,154
9862,2022-07-07 08:44:12,2022-07-07 08:54:13,77
9863,2022-07-07 08:46:10,2022-07-07 08:52:58,77
9864,2022-07-07 09:16:33,2022-07-07 09:29:37,77
9865,2022-07-07 09:24:32,2022-07-07 09:34:38,77
9866,2022-07-07 10:03:10,2022-07-07 10:12:11,77
9867,2022-07-07 10:07:34,2022-07-07 10:17:06,77
9868,2022-07-07 10:09:20,2022-07-07 10:19:28,77
9869,2022-07-07 10:10:01,2022-07-07 10:21:01,77
9870,2022-07-07 10:12:22,2022-07-07 10:23:33,77
9871,2022-07-07 10:18:24,2022-07-07 10:27:36,77
9872,2022-07-07 10:58:00,2022-07-07 11:04:34,77
9873,2022-07-07 11:10:35,2022-07-07 11:19:53,77
9874,2022-07-07 11:12:06,2022-07-07 11:31:05,154
9875,2022-07-07 11:53:05,2022-07-07 12:19:15,154
9876,2022-07-07 12:06:34,2022-07-07 12:33:50,154
9877,2022-07-07 12:16:15,2022-07-07 12:27:45,77
9878,2022-07-07 13:03:49,2022-07-07 13:16:20,77
9879,2022-07-07 13:24:34,2022-07-07 13:31:43,77
9880,2022-07-07 13:29:49,2022-07-07 14:04:50,231
9881,2022-07-07 13:46:45,2022-07-07 16:30:02,847
9882,2022-07-07 15:14:24,2022-07-07 15:24:08,77
9883,2022-07-07 15:24:55,2022-07-07 16:56:11,539
9884,2022-07-07 15:53:37,2022-07-07 16:05:08,77
9885,2022-07-07 16:05:06,2022-07-07 16:29:03,154
9886,2022-07-07 16:11:56,2022-07-07 20:02:04,1232
9887,2022-07-07 16:31:18,2022-07-07 17:14:28,231
9888,2022-07-07 16:49:14,2022-07-07 20:42:26,1232
9889,2022-07-07 17:54:30,2022-07-07 18:02:37,77
9890,2022-07-07 18:07:03,2022-07-07 18:18:05,77
9891,2022-07-07 18:14:47,2022-07-07 19:27:58,385
9892,2022-07-07 18:17:39,2022-07-07 18:26:39,77
9893,2022-07-07 18:22:38,2022-07-07 18:31:30,77
9894,2022-07-07 18:23:10,2022-07-07 18:31:29,77
9895,2022-07-07 18:31:05,2022-07-07 18:37:46,77
9896,2022-07-07 18:42:06,2022-07-07 18:55:10,77
9897,2022-07-07 18:57:29,2022-07-07 19:16:50,154
9898,2022-07-07 19:00:58,2022-07-07 19:15:32,77
9899,2022-07-07 19:01:32,2022-07-08 08:02:45,154
9900,2022-07-07 19:03:37,2022-07-07 19:14:00,77
9901,2022-07-07 19:09:39,2022-07-07 19:18:16,77
9902,2022-07-07 19:19:08,2022-07-07 19:31:28,77
9903,2022-07-07 19:26:52,2022-07-07 20:21:07,308
9904,2022-07-07 19:27:47,2022-07-07 19:35:54,77
9905,2022-07-07 19:33:47,2022-07-07 19:44:32,77
9906,2022-07-07 19:43:23,2022-07-07 20:06:36,154
9907,2022-07-07 20:07:08,2022-07-07 20:33:38,154
9908,2022-07-07 20:37:11,2022-07-07 21:05:22,154
9909,2022-07-07 20:38:47,2022-07-07 21:56:14,462
9910,2022-07-07 20:40:30,2022-07-07 21:01:03,154
9911,2022-07-07 20:54:43,2022-07-07 21:05:05,77
9912,2022-07-07 20:54:57,2022-07-07 21:07:03,77
9913,2022-07-07 21:13:59,2022-07-07 21:27:19,77
9914,2022-07-07 21:14:06,2022-07-07 21:22:50,77
9915,2022-07-07 21:48:20,2022-07-07 22:33:50,308
9916,2022-07-07 22:40:16,2022-07-07 22:51:59,77
9917,2022-07-07 22:41:15,2022-07-07 22:50:47,77
9918,2022-07-07 22:55:34,2022-07-07 23:02:48,77
9919,2022-07-07 23:43:44,2022-07-07 23:53:50,77
9920,2022-07-07 23:44:07,2022-07-07 23:54:04,77
9921,2022-07-07 23:44:50,2022-07-07 23:56:05,77
9922,2022-07-08 07:42:29,2022-07-08 07:53:45,77
9923,2022-07-08 07:43:53,2022-07-08 07:56:31,77
9924,2022-07-08 08:07:14,2022-07-08 08:15:55,77
9925,2022-07-08 08:12:46,2022-07-08 08:28:43,154
9926,2022-07-08 08:16:59,2022-07-08 08:28:19,77
9927,2022-07-08 08:20:56,2022-07-08 08:33:14,77
9928,2022-07-08 08:21:27,2022-07-08 08:24:52,77
9929,2022-07-08 08:28:51,2022-07-08 08:53:12,154
9930,2022-07-08 08:44:39,2022-07-08 08:53:26,77
9931,2022-07-08 08:45:09,2022-07-08 08:54:01,77
9932,2022-07-08 08:45:28,2022-07-08 08:52:56,77
9933,2022-07-08 09:02:22,2022-07-08 09:17:39,154
9934,2022-07-08 09:02:34,2022-07-08 09:21:59,154
9935,2022-07-08 09:14:17,2022-07-08 09:24:02,77
9936,2022-07-08 09:32:21,2022-07-08 11:10:07,539
9937,2022-07-08 09:55:08,2022-07-08 12:31:40,847
9938,2022-07-08 10:06:33,2022-07-08 16:06:05,1500
9939,2022-07-08 10:19:57,2022-07-08 10:31:40,77
9940,2022-07-08 10:36:31,2022-07-08 10:50:09,77
9941,2022-07-08 10:36:40,2022-07-08 10:50:14,77
9942,2022-07-08 10:48:21,2022-07-08 11:47:44,308
9943,2022-07-08 10:55:01,2022-07-08 11:12:52,154
9944,2022-07-08 11:50:50,2022-07-08 13:06:16,462
9945,2022-07-08 12:01:07,2022-07-08 12:09:44,77
9946,2022-07-08 12:30:12,2022-07-08 12:47:34,154
9947,2022-07-08 12:36:04,2022-07-08 12:54:57,154
9948,2022-07-08 13:23:33,2022-07-08 14:36:26,385
9949,2022-07-08 13:39:52,2022-07-08 13:48:15,77
9950,2022-07-08 13:43:00,2022-07-08 16:36:30,924
9951,2022-07-08 13:56:23,2022-07-08 14:06:23,77
9952,2022-07-08 14:03:58,2022-07-08 16:18:59,770
9953,2022-07-08 14:12:38,2022-07-08 16:53:03,847
9954,2022-07-08 14:13:31,2022-07-08 14:22:41,77
9955,2022-07-08 14:40:50,2022-07-08 14:52:51,77
9956,2022-07-08 14:55:59,2022-07-08 15:05:26,77
9957,2022-07-08 14:58:13,2022-07-08 15:09:11,77
9958,2022-07-08 15:02:16,2022-07-08 15:12:09,77
9959,2022-07-08 15:02:19,2022-07-08 16:10:34,385
9960,2022-07-08 15:10:11,2022-07-08 15:16:55,77
9961,2022-07-08 15:13:25,2022-07-08 15:21:16,77
9962,2022-07-08 16:00:45,2022-07-08 16:09:36,77
9963,2022-07-08 16:46:03,2022-07-08 17:11:28,154
9964,2022-07-08 16:50:27,2022-07-08 16:56:04,77
9965,2022-07-08 17:14:08,2022-07-08 17:25:25,77
9966,2022-07-08 17:16:25,2022-07-08 17:19:15,77
9967,2022-07-08 17:36:19,2022-07-08 17:52:42,154
9968,2022-07-08 17:38:44,2022-07-08 17:51:17,77
9969,2022-07-08 17:52:48,2022-07-08 18:06:07,77
9970,2022-07-08 18:12:39,2022-07-08 18:18:56,77
9971,2022-07-08 18:12:40,2022-07-08 18:21:46,77
9972,2022-07-08 18:28:12,2022-07-08 19:58:43,539
9973,2022-07-08 18:47:33,2022-07-08 18:55:03,77
9974,2022-07-08 19:11:02,2022-07-08 19:21:56,77
9975,2022-07-08 19:24:33,2022-07-08 19:32:16,77
9976,2022-07-08 19:27:08,2022-07-08 19:28:36,77
9977,2022-07-08 19:28:59,2022-07-08 19:38:23,77
9978,2022-07-08 19:34:26,2022-07-08 20:12:11,231
9979,2022-07-08 20:07:45,2022-07-08 20:12:59,77
9980,2022-07-08 20:20:01,2022-07-08 20:30:31,77
9981,2022-07-08 20:44:04,2022-07-08 21:02:58,154
9982,2022-07-08 20:44:59,2022-07-08 21:15:24,231
9983,2022-07-08 20:45:03,2022-07-08 21:15:18,231
9984,2022-07-08 20:48:59,2022-07-08 20:57:52,77
9985,2022-07-08 20:57:12,2022-07-08 21:09:45,77
9986,2022-07-08 21:03:44,2022-07-08 21:47:51,231
9987,2022-07-08 21:05:42,2022-07-08 21:40:55,231
9988,2022-07-08 21:11:02,2022-07-08 21:19:32,77
9989,2022-07-08 21:29:25,2022-07-08 21:46:55,154
9990,2022-07-08 22:02:48,2022-07-08 22:33:17,231
9991,2022-07-08 22:06:50,2022-07-08 22:19:11,77
9992,2022-07-08 22:13:20,2022-07-08 22:27:23,77
9993,2022-07-08 22:23:17,2022-07-08 22:32:09,77
9994,2022-07-08 22:23:57,2022-07-08 22:38:40,77
9995,2022-07-08 22:30:35,2022-07-08 22:42:22,77
9996,2022-07-08 22:36:20,2022-07-08 22:50:26,77
9997,2022-07-08 22:36:25,2022-07-08 22:46:29,77
9998,2022-07-08 22:41:32,2022-07-08 22:50:40,77
9999,2022-07-08 23:42:56,2022-07-09 00:07:25,154
10000,2022-07-08 23:49:07,2022-07-08 23:57:13,77
10001,2022-07-09 00:33:42,2022-07-09 00:44:40,77
10002,2022-07-09 00:45:28,2022-07-09 00:58:34,77
10003,2022-07-09 01:14:08,2022-07-09 01:35:42,154
10004,2022-07-09 03:14:07,2022-07-09 03:24:13,77
10005,2022-07-09 06:34:07,2022-07-09 06:39:38,77
10006,2022-07-09 06:43:30,2022-07-09 07:39:59,308
10007,2022-07-09 06:45:08,2022-07-09 06:54:02,77
10008,2022-07-09 07:20:16,2022-07-09 07:53:04,231
10009,2022-07-09 07:24:02,2022-07-09 07:34:35,77
10010,2022-07-09 07:56:04,2022-07-09 08:08:33,77
10011,2022-07-09 08:07:12,2022-07-09 08:16:16,77
10012,2022-07-09 08:07:15,2022-07-09 08:16:47,77
10013,2022-07-09 08:11:59,2022-07-09 08:22:14,77
10014,2022-07-09 08:14:41,2022-07-09 08:20:59,77
10015,2022-07-09 08:24:17,2022-07-09 08:34:35,77
10016,2022-07-09 08:26:00,2022-07-09 08:43:53,154
10017,2022-07-09 08:36:19,2022-07-09 08:45:18,77
10018,2022-07-09 08:37:41,2022-07-09 08:38:15,77
10019,2022-07-09 08:48:58,2022-07-09 08:57:10,77
10020,2022-07-09 09:08:20,2022-07-09 09:19:06,77
10021,2022-07-09 09:32:20,2022-07-09 17:01:49,1500
10022,2022-07-09 09:33:54,2022-07-09 09:43:51,77
10023,2022-07-09 09:38:45,2022-07-09 09:47:43,77
10024,2022-07-09 10:05:19,2022-07-09 10:16:53,77
10025,2022-07-09 10:11:08,2022-07-09 10:20:44,77
10026,2022-07-09 10:11:42,2022-07-09 10:22:48,77
10027,2022-07-09 10:33:16,2022-07-09 10:47:28,77
10028,2022-07-09 10:55:58,2022-07-09 11:04:55,77
10029,2022-07-09 11:19:36,2022-07-09 11:36:27,154
10030,2022-07-09 11:21:42,2022-07-09 11:35:29,77
10031,2022-07-09 11:22:06,2022-07-09 11:52:44,231
10032,2022-07-09 11:33:26,2022-07-09 11:44:25,77
10033,2022-07-09 11:36:51,2022-07-09 11:43:53,77
10034,2022-07-09 11:40:25,2022-07-09 13:36:28,616
10035,2022-07-09 11:59:08,2022-07-09 12:02:30,77
10036,2022-07-09 12:06:38,2022-07-09 13:13:31,385
10037,2022-07-09 12:11:25,2022-07-09 13:27:28,462
10038,2022-07-09 12:22:55,2022-07-09 14:22:06,616
10039,2022-07-09 12:30:26,2022-07-09 16:52:14,1386
10040,2022-07-09 12:32:27,2022-07-09 12:44:25,77
10041,2022-07-09 12:37:04,2022-07-09 12:42:51,77
10042,2022-07-09 13:03:07,2022-07-09 13:12:25,77
10043,2022-07-09 13:10:08,2022-07-09 13:21:30,77
10044,2022-07-09 13:10:15,2022-07-09 13:21:34,77
10045,2022-07-09 13:10:19,2022-07-09 13:27:45,154
10046,2022-07-09 13:13:50,2022-07-09 13:46:29,231
10047,2022-07-09 13:37:30,2022-07-09 13:47:37,77
10048,2022-07-09 13:49:06,2022-07-09 14:18:13,154
10049,2022-07-09 13:52:01,2022-07-09 15:22:44,539
10050,2022-07-09 13:54:32,2022-07-09 15:53:01,616
10051,2022-07-09 14:01:07,2022-07-09 14:12:28,77
10052,2022-07-09 14:13:28,2022-07-09 14:28:03,77
10053,2022-07-09 14:14:56,2022-07-09 14:37:23,154
10054,2022-07-09 14:24:49,2022-07-09 15:15:57,308
10055,2022-07-09 14:25:21,2022-07-09 15:16:05,308
10056,2022-07-09 14:58:55,2022-07-09 15:09:07,77
10057,2022-07-09 15:24:18,2022-07-09 15:39:04,77
10058,2022-07-09 15:41:28,2022-07-09 15:52:09,77
10059,2022-07-09 15:51:24,2022-07-09 16:01:14,77
10060,2022-07-09 15:53:18,2022-07-09 18:15:09,770
10061,2022-07-09 16:53:29,2022-07-09 17:04:28,77
10062,2022-07-09 16:54:36,2022-07-09 17:43:37,308
10063,2022-07-09 17:09:30,2022-07-09 17:26:59,154
10064,2022-07-09 17:27:22,2022-07-09 18:12:28,308
10065,2022-07-09 17:40:24,2022-07-09 17:55:16,77
10066,2022-07-09 17:49:23,2022-07-09 17:56:29,77
10067,2022-07-09 17:59:26,2022-07-09 18:42:03,231
10068,2022-07-09 18:04:03,2022-07-09 18:11:17,77
10069,2022-07-09 18:16:18,2022-07-09 18:25:47,77
10070,2022-07-09 18:28:17,2022-07-09 18:36:31,77
10071,2022-07-09 18:45:00,2022-07-09 18:56:07,77
10072,2022-07-09 19:52:13,2022-07-09 20:10:32,154
10073,2022-07-09 20:08:53,2022-07-09 20:18:44,77
10074,2022-07-09 20:51:54,2022-07-09 21:15:09,154
10075,2022-07-09 21:08:10,2022-07-09 21:19:11,77
10076,2022-07-09 21:18:47,2022-07-09 21:39:05,154
10077,2022-07-09 22:16:20,2022-07-09 22:20:57,77
10078,2022-07-09 22:42:28,2022-07-13 16:11:43,77
10079,2022-07-09 22:49:44,2022-07-09 22:59:22,77
10080,2022-07-09 23:16:16,2022-07-09 23:22:52,77
10081,2022-07-09 23:48:44,2022-07-09 23:52:22,77
10082,2022-07-09 23:48:46,2022-07-10 00:05:07,154
10083,2022-07-10 00:12:38,2022-07-10 00:33:57,154
10084,2022-07-10 00:17:22,2022-07-10 00:25:32,77
10085,2022-07-10 00:43:30,2022-07-10 00:55:50,77
10086,2022-07-10 01:09:49,2022-07-10 01:23:35,77
10087,2022-07-10 01:10:17,2022-07-10 01:23:43,77
10088,2022-07-10 02:54:21,2022-07-10 03:12:50,154
10089,2022-07-10 03:40:08,2022-07-10 03:49:38,77
10090,2022-07-10 05:28:04,2022-07-10 05:39:21,77
10091,2022-07-10 05:29:24,2022-07-10 05:39:14,77
10092,2022-07-10 08:22:14,2022-07-10 08:28:06,77
10093,2022-07-10 08:39:08,2022-07-10 08:48:03,77
10094,2022-07-10 08:48:53,2022-07-10 08:57:08,77
10095,2022-07-10 08:52:46,2022-07-10 09:29:14,231
10096,2022-07-10 09:21:44,2022-07-10 11:41:47,770
10097,2022-07-10 09:31:03,2022-07-10 09:46:15,154
10098,2022-07-10 09:35:44,2022-07-10 09:58:52,154
10099,2022-07-10 09:52:48,2022-07-10 10:01:42,77
10100,2022-07-10 09:54:22,2022-07-10 10:05:49,77
10101,2022-07-10 10:06:02,2022-07-10 12:47:05,847
10102,2022-07-10 10:06:13,2022-07-10 12:48:03,847
